Field ID,Description,Category,Type
22436,10P Liver PDFF (proton density fat fraction),Abdominal composition,
23363,10P liver PDFF mean error indicator,Abdominal composition,
12323,12-lead ECG measuring method,"ECG at rest, 12-lead",
23000,1gG antigen for Herpes Simplex virus-1,Infectious Disease Antigens,
23001,2mgG unique antigen for Herpes Simplex virus-2,Infectious Disease Antigens,
23474,3-Hydroxybutyrate,NMR metabolomics,
23774,"3-Hydroxybutyrate, QC Flag",NMR metabolomics QC indicators,
5111,3mm asymmetry angle (left),Autorefraction,
5108,3mm asymmetry angle (right),Autorefraction,
5156,3mm asymmetry index (left),Autorefraction,
5159,3mm asymmetry index (right),Autorefraction,
5155,3mm asymmetry index for irregular astigmatism level (left),Autorefraction,
5152,3mm asymmetry index for irregular astigmatism level (right),Autorefraction,
5141,3mm asymmetry index unreliable (left),Autorefraction,
5144,3mm asymmetry index unreliable (right),Autorefraction,
5119,3mm cylindrical power (left),Autorefraction,
5116,3mm cylindrical power (right),Autorefraction,
5112,3mm cylindrical power angle (left),Autorefraction,
5115,3mm cylindrical power angle (right),Autorefraction,
5292,3mm index of best keratometry results (left),Autorefraction,
5237,3mm index of best keratometry results (right),Autorefraction,
5136,3mm keratometry result unreliable (left),Autorefraction,
5140,3mm keratometry result unreliable (right),Autorefraction,
5163,3mm regularity index (left),Autorefraction,
5160,3mm regularity index (right),Autorefraction,
5149,3mm regularity index for irregular astigmatism level (left),Autorefraction,
5164,3mm regularity index for irregular astigmatism level (right),Autorefraction,
5148,3mm regularity index unreliable (left),Autorefraction,
5145,3mm regularity index unreliable (right),Autorefraction,
5135,3mm strong meridian (left),Autorefraction,
5132,3mm strong meridian (right),Autorefraction,
5104,3mm strong meridian angle (left),Autorefraction,
5107,3mm strong meridian angle (right),Autorefraction,
5096,3mm weak meridian (left),Autorefraction,
5099,3mm weak meridian (right),Autorefraction,
5103,3mm weak meridian angle (left),Autorefraction,
5100,3mm weak meridian angle (right),Autorefraction,
5110,6mm asymmetry angle (left),Autorefraction,
5109,6mm asymmetry angle (right),Autorefraction,
5157,6mm asymmetry index (left),Autorefraction,
5158,6mm asymmetry index (right),Autorefraction,
5142,6mm asymmetry index unreliable (left),Autorefraction,
5143,6mm asymmetry index unreliable (right),Autorefraction,
5118,6mm cylindrical power (left),Autorefraction,
5117,6mm cylindrical power (right),Autorefraction,
5113,6mm cylindrical power angle (left),Autorefraction,
5114,6mm cylindrical power angle (right),Autorefraction,
5306,6mm index of best keratometry results (left),Autorefraction,
5251,6mm index of best keratometry results (right),Autorefraction,
5138,6mm keratometry result unreliable (left),Autorefraction,
5139,6mm keratometry result unreliable (right),Autorefraction,
5162,6mm regularity index (left),Autorefraction,
5161,6mm regularity index (right),Autorefraction,
5147,6mm regularity index unreliable (left),Autorefraction,
5146,6mm regularity index unreliable (right),Autorefraction,
5134,6mm strong meridian (left),Autorefraction,
5133,6mm strong meridian (right),Autorefraction,
5105,6mm strong meridian angle (left),Autorefraction,
5106,6mm strong meridian angle (right),Autorefraction,
5097,6mm weak meridian (left),Autorefraction,
5098,6mm weak meridian (right),Autorefraction,
5102,6mm weak meridian angle (left),Autorefraction,
5101,6mm weak meridian angle (right),Autorefraction,
25767,90th percentile of BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast,Task functional brain MRI,
25763,90th percentile of BOLD effect (in group-defined mask) for faces activation,Task functional brain MRI,
25765,90th percentile of BOLD effect (in group-defined mask) for faces-shapes contrast,Task functional brain MRI,
25761,90th percentile of BOLD effect (in group-defined mask) for shapes activation,Task functional brain MRI,
25768,90th percentile of z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast,Task functional brain MRI,
25764,90th percentile of z-statistic (in group-defined mask) for faces activation,Task functional brain MRI,
25766,90th percentile of z-statistic (in group-defined mask) for faces-shapes contrast,Task functional brain MRI,
25762,90th percentile of z-statistic (in group-defined mask) for shapes activation,Task functional brain MRI,
23358,ASAT error indicator,Abdominal composition,
12224,Abdominal MRI measurement completed,Abdominal MRI,
12223,Abdominal MRI measuring method,Abdominal MRI,
22434,Abdominal fat ratio,Abdominal composition,
22408,Abdominal subcutaneous adipose tissue volume (ASAT),Abdominal composition,
2110,Able to confide,Social support,
6017,Able to walk or cycle unaided for 10 minutes,ECG during exercise,
22035,Above moderate/vigorous recommendation,MET Scores,
22036,Above moderate/vigorous/walking recommendation,MET Scores,
4204,Absence of notch position in the pulse waveform,Arterial stiffness,
3061,Acceptability of each blow result,Spirometry,
10693,Acceptability of each blow result (pilot),Spirometry,
20031,Acceptability of each blow result (text),Spirometry,
20032,Acceptability of each blow result (text) (pilot),Spirometry,
23475,Acetate,NMR metabolomics,
23775,"Acetate, QC Flag",NMR metabolomics QC indicators,
23476,Acetoacetate,NMR metabolomics,
23776,"Acetoacetate, QC Flag",NMR metabolomics QC indicators,
23477,Acetone,NMR metabolomics,
23777,"Acetone, QC Flag",NMR metabolomics QC indicators,
25780,Acquisition protocol phase.,Brain MRI,
22191,Adjusted T/S ratio,Telomeres,
1767,Adopted as a child,Early life factors,
3912,Adopted father still alive,Family history,
3942,Adopted mother still alive,Family history,
3627,Age angina diagnosed,Medical conditions,
3786,Age asthma diagnosed,Medical conditions,
3882,Age at bilateral oophorectomy (both ovaries removed),Female-specific factors,
2754,Age at first live birth,Female-specific factors,
2824,Age at hysterectomy,Female-specific factors,
2764,Age at last live birth,Female-specific factors,
3581,Age at menopause (last menstrual period),Female-specific factors,
4700,Age cataract diagnosed,Eyesight,
845,Age completed full time education,Education,
4012,"Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed",Medical conditions,
2976,Age diabetes diagnosed,Medical conditions,
3992,Age emphysema/chronic bronchitis diagnosed,Medical conditions,
2139,Age first had sexual intercourse,Sexual factors,
4689,Age glaucoma diagnosed,Eyesight,
3761,"Age hay fever, rhinitis or eczema diagnosed",Medical conditions,
3894,Age heart attack diagnosed,Medical conditions,
2966,Age high blood pressure diagnosed,Medical conditions,
3546,Age last used hormone-replacement therapy (HRT),Female-specific factors,
5923,Age macular degeneration diagnosed,Eyesight,
3872,Age of primiparous women at birth of child,Female-specific factors,
5945,Age other serious eye condition diagnosed,Eyesight,
4022,Age pulmonary embolism (blood clot in lung) diagnosed,Medical conditions,
3536,Age started hormone-replacement therapy (HRT),Female-specific factors,
2794,Age started oral contraceptive pill,Female-specific factors,
3436,Age started smoking in current smokers,Smoking,
2867,Age started smoking in former smokers,Smoking,
2217,Age started wearing glasses or contact lenses,Eyesight,
2897,Age stopped smoking,Smoking,
6194,Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker),Smoking,
4056,Age stroke diagnosed,Medical conditions,
21003,Age when attended assessment centre,Reception,
